time	V(N021,Vo_led7)	V(Vcc_led,Vi_led7)	I(D28)
5.223535731821599e-06	4.653837e+00	3.352856e+00	5.603539e+00
5.224044669566989e-06	4.611590e+00	3.326588e+00	5.476666e+00
5.224458051749353e-06	4.568409e+00	3.303749e+00	5.345335e+00
5.224855904647340e-06	4.505044e+00	3.279285e+00	5.151737e+00
5.225413327057396e-06	4.363231e+00	3.238541e+00	4.718542e+00
5.225997791164804e-06	4.115678e+00	3.182777e+00	3.964187e+00
5.226614049608441e-06	3.690015e+00	3.100227e+00	2.673411e+00
5.227172185994178e-06	3.086020e+00	2.990734e+00	8.586608e-01
5.227749638888427e-06	2.161798e+00	2.824562e+00	-1.873948e+00
5.228310516178562e-06	9.991837e-01	2.612545e+00	-5.259191e+00
5.228383495933817e-06	8.181229e-01	2.578686e+00	-5.777278e+00
5.228529455444328e-06	4.137497e-01	2.501835e+00	-6.919180e+00
5.228657510018292e-06	4.360962e-02	2.431110e+00	-7.957672e+00
5.228662188477168e-06	2.965164e-02	2.428421e+00	-7.996568e+00
5.228671545394922e-06	1.293182e-03	2.422909e+00	-8.075300e+00
5.228690259230427e-06	-5.554962e-02	2.411812e+00	-8.232973e+00
5.228701416984863e-06	-8.930588e-02	2.405113e+00	-8.326341e+00
5.228712588210833e-06	-1.228180e-01	2.398293e+00	-8.418725e+00
5.228723081729343e-06	-1.540565e-01	2.391754e+00	-8.504569e+00
5.228739354176472e-06	-2.022476e-01	2.381317e+00	-8.636540e+00
5.228772310322857e-06	-2.996407e-01	2.359535e+00	-8.902509e+00
5.228781048697901e-06	-3.217545e-01	2.353493e+00	-8.960900e+00
5.228798525447987e-06	-3.529282e-01	2.341293e+00	-9.035913e+00
5.228802894635508e-06	-3.572426e-01	2.338223e+00	-9.043652e+00
5.228829109760638e-06	-3.676376e-01	2.319725e+00	-9.040915e+00
5.228864063260810e-06	-3.733864e-01	2.295132e+00	-9.011344e+00
5.228933970261155e-06	-3.724365e-01	2.246578e+00	-8.912573e+00
5.229073784261844e-06	-3.614044e-01	2.152355e+00	-8.687118e+00
5.229336080580980e-06	-3.388596e-01	1.986156e+00	-8.262343e+00
5.229860673219252e-06	-2.959290e-01	1.684971e+00	-7.432377e+00
5.230483622456458e-06	-2.502365e-01	1.371296e+00	-6.483583e+00
5.231041252891715e-06	-2.150536e-01	1.132706e+00	-5.674965e+00
5.231635328699035e-06	-1.834068e-01	9.196358e-01	-4.858774e+00
5.232187090377381e-06	-1.588402e-01	7.552185e-01	-4.143798e+00
5.232775496666476e-06	-1.372719e-01	6.118279e-01	-3.429955e+00
5.233337109921146e-06	-1.205826e-01	5.017281e-01	-2.798820e+00
5.233922147206361e-06	-1.067734e-01	4.116249e-01	-2.199538e+00
5.234486591517046e-06	-9.638214e-02	3.449593e-01	-1.686953e+00
5.235067549090167e-06	-8.818817e-02	2.938499e-01	-1.241036e+00
5.235634629778103e-06	-8.218384e-02	2.581635e-01	-8.995703e-01
5.236374227946220e-06	-7.644272e-02	2.264633e-01	-5.763124e-01
5.237128036331536e-06	-7.214737e-02	2.051201e-01	-3.501899e-01
5.237765105961861e-06	-6.948090e-02	1.936302e-01	-2.255569e-01
5.238400982133520e-06	-6.744385e-02	1.862526e-01	-1.445008e-01
5.239005770254913e-06	-6.592941e-02	1.817284e-01	-9.491905e-02
5.239926918306849e-06	-6.410980e-02	1.774330e-01	-4.951951e-02
5.240926918306849e-06	-6.252670e-02	1.744843e-01	-2.183268e-02
5.241926918306849e-06	-6.121826e-02	1.724091e-01	-7.992935e-03
5.242926918306849e-06	-6.003571e-02	1.703186e-01	-1.219035e-03
5.243926918306849e-06	-5.869293e-02	1.668930e-01	2.669058e-03
5.244786362648273e-06	-5.701447e-02	1.611977e-01	5.954503e-03
5.245123622649617e-06	-5.615997e-02	1.573868e-01	7.332342e-03
