time	V(Vcc_led,Vi_led5)	V(Vi_led5,N001)	I(D6)
5.737210108030938e-06	0.000000e+00	5.340576e-05	7.952622e-09
5.738210108030938e-06	0.000000e+00	5.340576e-05	7.390554e-09
5.739210108030938e-06	0.000000e+00	5.340576e-05	7.728886e-09
5.740210108030938e-06	0.000000e+00	5.340576e-05	7.175913e-09
5.741210108030938e-06	0.000000e+00	5.340576e-05	7.508788e-09
5.742210108030938e-06	0.000000e+00	5.340576e-05	6.964910e-09
5.743210108030938e-06	0.000000e+00	5.340576e-05	7.295966e-09
5.744210108030938e-06	0.000000e+00	5.340576e-05	6.763003e-09
5.745210108030938e-06	0.000000e+00	5.340576e-05	7.090421e-09
5.746210108030938e-06	0.000000e+00	5.340576e-05	6.564733e-09
5.747210108030938e-06	0.000000e+00	5.340576e-05	6.888513e-09
5.748210108030938e-06	0.000000e+00	5.340576e-05	6.373739e-09
5.749210108030938e-06	0.000000e+00	5.340576e-05	6.695700e-09
5.750210108030938e-06	0.000000e+00	5.340576e-05	6.190021e-09
5.751210108030938e-06	0.000000e+00	5.340576e-05	6.506525e-09
5.752210108030938e-06	0.000000e+00	5.340576e-05	6.008122e-09
5.753210108030938e-06	0.000000e+00	5.340576e-05	6.322807e-09
5.754210108030938e-06	0.000000e+00	5.340576e-05	5.835318e-09
5.755210108030938e-06	0.000000e+00	5.340576e-05	6.146365e-09
5.756210108030938e-06	0.000000e+00	5.340576e-05	5.664333e-09
5.757210108030938e-06	0.000000e+00	5.340576e-05	5.971742e-09
5.758210108030938e-06	0.000000e+00	5.340576e-05	5.498805e-09
5.759210108030938e-06	0.000000e+00	5.340576e-05	5.802576e-09
5.760210108030938e-06	0.000000e+00	5.340576e-05	5.338734e-09
5.761210108030939e-06	0.000000e+00	5.340576e-05	5.640686e-09
5.762210108030938e-06	0.000000e+00	5.340576e-05	5.185939e-09
5.763210108030938e-06	0.000000e+00	5.340576e-05	5.484253e-09
5.764210108030938e-06	0.000000e+00	5.340576e-05	5.034963e-09
5.765210108030938e-06	0.000000e+00	5.340576e-05	5.329639e-09
5.766210108030938e-06	0.000000e+00	5.340576e-05	4.887625e-09
5.767210108030938e-06	0.000000e+00	5.340576e-05	5.176844e-09
5.768210108030938e-06	0.000000e+00	5.340576e-05	4.743924e-09
5.769210108030938e-06	0.000000e+00	5.340576e-05	5.033144e-09
5.770210108030938e-06	0.000000e+00	5.340576e-05	4.605681e-09
5.771210108030938e-06	0.000000e+00	5.340576e-05	4.889444e-09
5.772210108030938e-06	0.000000e+00	5.340576e-05	4.471076e-09
5.773210108030938e-06	0.000000e+00	5.340576e-05	4.754838e-09
5.774210108030938e-06	0.000000e+00	5.340576e-05	4.343747e-09
5.775210108030938e-06	0.000000e+00	5.340576e-05	4.622052e-09
5.776210108030938e-06	0.000000e+00	5.340576e-05	4.218236e-09
5.777210108030938e-06	0.000000e+00	5.340576e-05	4.494723e-09
5.778210108030939e-06	0.000000e+00	5.340576e-05	4.096364e-09
5.779210108030938e-06	0.000000e+00	5.340576e-05	4.367394e-09
5.780210108030938e-06	0.000000e+00	5.340576e-05	3.974492e-09
5.781210108030938e-06	0.000000e+00	5.340576e-05	4.243702e-09
